review	labels
none of the other nonsticks can hold a candle to this stuff i bought this and the 8 fry pan 2 months ago and except for the bottoms still looks brand new despite being used nearly every day i even used a bacon press \( cast iron \) in it every time i cooked bacon and a couple of times i accidently scraped the inside side of the pan with no marks left hubby stacked knives and forks inside then topped it off with 6 dinner plates i thought it was done for scratches and nicks everywhere but no not a single mark my calphalon commercial nonstick \( which hit the trash already \) looked like it had been through a war when my 18 yr old did that i must admit though that i do not use metal utensils in it nor do i put in a dishwasher since i won t have one til the kitchen is remodeled overall though just from what abuse it has gotten i m very impressed and will buy more my advice don t mess with the rest buy the best and this is it going to try the wok next wish they sold an electric griddle with this stuff in it	positive
this product is not eligible for free shipping yet it ships from the amazon warehouse along with the humidifier that is eligible for free shipping	negative
why do they call it a 3 cup press i barely get one cup out of it are they talking expresso cups well anyway every single time i use it i get grounds in my cup everytime grounds yuck this is the third french press i have owned and it is the worst of the three i guess i will continue my search for a fourth french press before i choke on too many grounds	negative
this is just what i was looking for i use it for the few dishes that don t make it in to the dishwasher but mostly for drying the baby bottles the bottle drying systems are pretty ugly and can only be used for that purpose this drying rack is very useful for the bottles and dishes	positive
i got them free with purchase of wamsutta sheets these blankets are of really cheap quality thin mesh like texture threads get loose at the ends leaving traces of fabric everywhere i got rid of it cause i am afraid the loose ends and fabric may be swallowed by babies	negative
my husband suggested this as a birthday gift for me i thought okay until i opened the package this shamrock green is so pretty this dinnerware is great a nice heavyweight the glazing is brillant and the cereal bowls are a good size not too small as other types tend to be i am very happy i own this and have bought more since	positive
people who complain that the aerosol can is empty the next day should listen closely to the product the one i ordered will leak as long as the mechanism is attached to the aerosol can i have tried reconnecting it many times using different pressure as i push down but to no avail at 10 dollars a night this product will get very expensive very quickly if it had worked without the leak i would have given ssscat 5 stars	negative
this is a great pan aside from the fact that it is easily the best non stick on the market \( and i have used anolon calphalon and scanpan \) what continues to impress me most about this pan is its even heat distribution there are no hot spots not even the center when sauteing the food colours evenly \( even when the pan is a little overcrowded \) when stewing you often see tight little bubbles across the surfact of your food demonstrating how even the heat distribution is this pan also makes a fine risotto oh and did i mention its non stick is simply the best clean up is a breeze nothing sticks even baked on pasta sauce wipes out with a little water the surface on swiss diamond is so good that if you make pancakes it is often hard to get the turner under the pancake without sending the pancake to the other side of the pan swiss diamond is the king of non stick as not only is their surface no 1 but the quality of their pans is second to none i own two swiss diamond pieces i plan to buy more and i couldn t recommend these pans more highly this is the pan i reach for the most	positive
i bought myself one of these and used it minimally and was happy i then bought one for my daughter she used it about 5 times in a little over a year and it quit the blade assembly as per other reviews it is going to cost about 50 to repair now mine is smelling i am using my old 15 year old oster and it is still working also to my surprise it is doing a better job just not as pretty i have ka stand mixer hand blender food processors large and small emersion blender and attachments for all love all of them will buy other ka but not this again	negative
reasons 1 faulty battery cover design the battery cover comes off time i remove the timer from a metal surface 2 the protective glass is cloudy making the timer numbers hard to see 3 the alarms are not very audible 4 the magnet unglued itself within the first three days of use	negative
