review,labels
i have had this unit for 8 months and haven t had any problems it has ground my coffee fine enough and not cracked i have not experienced a problem with it being too fat to hold with one hand and i have very small hands some of the coffee does stick to the inside but is easily removed with a spoon or napkin,positive
the top doesn t seal so shaking and storing the dressing can only be done with tinkering also the bottle being so narrow it s hard to clean,negative
we bought this rice cooker because of the reputable brand name we have been using it for about 4 months now it cooks good rice however the rice does not stay fresh for over 3 days sometimes regardless of what other reviewers said we ve got spoiled rice in it a few times already with no understandable reason and the rice was in keep warm mode at all times in addition if you forget to stir the rice and leave it in the keep warm mode for a day the top layer becomes very hard and the bottom layer becomes very soggy so you do need to stir the rice quite often to prevent the dryout i haven t tried cooking porridge or any other kind of rice besides white rice if i were to decide all over again i would stay away from this rice cooker i thought i ve bought a top notched product now i regret that i spent this much on a rice cooker,negative
i bought one of these for my apartment and it s quite an investment considering the constant cost of refills it does contain the odor better than a garbage can but does not completely eliminate it the instructions seem a bit confusing at first but it s a piece of cake once you figure out what they are trying to show with that in mind it s a step in the right direction and does a fair job of containing the odor \( particularly for indoor environments \) and is a better alternative than the hooded litterbox for kitty s respiratory system,positive
i already had a cake lifter when i visited my daughter and her husband at christmas they were lifting a coffee cake out of the oven using two small spatulas i knew how much easier it would have been with the cake lifter so i wanted to get one for them googled spatulas and was amazed at how many there were finally found one just like mine and ordered two of them one for each daughter i have given one hers and she was delighted will give the other one hers when i visit in march i use mine often and am glad to have it don t believe enough people know there is such an item on the market too bad it isn t sold more widely,positive
i have these sheets on my bed right now they are very comfortable and soft after just one washing the price was great and the striping addds style to otherwise bland white sheets,positive
i have this bowl and the larger one they are perfect bowls for mixing the rubber base really helps the bowl stay put i was them in the dishwasher without any problems,positive
this toaster makes the best toast of any toaster i have ever owned and it looks great i tossed my blue plastic cuisinart which at best made mediocre toast and had that icky plastic worn out look this toaster is metal sturdy and has a great retro look in today s colors mine is red i also bought the matching coffeemaker and the drink mixer a quick and cheap way to update the kitchen amazon service has been great and with the 25 off i got some great buys,positive
this product does not work the dial just moves randomly please tell me who to contact for a refund,negative
my husband goes to bed much later than i do until i got this gadget i had to go to sleep with a bedroom light on and he would leave a low light on in the living room in order to see his way to the bedroom i have installed 3 of these units one in the living room one in the hall and one in the bedroom they light up sequentially as he comes to be,positive
a good basic place to hang a half dozen jackets or hats its a little wobbly when loaded but not too bad easy to assemble and looks ok a good overall buy,positive
the unit has nice large digits but the wireless sensors don t work consistantly the system works for perhaps 3 days and then the wireless link goes down we have to remove the remote sensor batteries and reinstall them for the link to be re established,negative
i agree with a previous review coating does not hold up comes off if bumped to hard has been used gently and the metal is already showing one thing i would like to know is what is the highest temp this coating will tolerate,negative
it s fiesta ware what s not to love couldn t find this one anywhere else,positive
my cats love this they will play with it by themselves or with each other it is a little wobbly for my big fat male cat but he still loves to play on it,positive
love it rechargeable seems to last better than battery operated ones the design has improved too i have had two of them i love how you can dismantle this one so it won t break if packed away makes good froth too,positive
i was surprised by the quick delivery i opened the box to check the bowls everything was intact and i was happy to give them to my cousin as a wedding present,positive
this is a great heater it warms up the room very quickly it has a nice feature of oscillating it also works as a fan the thermometer is good,positive
everything about our miele \( red velvet \) vacuumn cleaner is top notch including the bags the nicest thing about them is the way you can slide a protective piece of cardboard over the bag hole when removing the bag this prevents the dust and other vacuum dander from escaping as you walk the bag to your trash from the cleaner this is just a small detail but it exemplifies the thought that goes into this company s products,positive
giving 2 stars on the suction alone hepa filter doesn t self clean turn after one use a lot of dirt falls out from the hepa filter when removing the dirt box or collects behind the the dirt box if you don t pay very close attention to aligning it just right i really liked how much dirt this thing pulls out of the carpet but it s heavy and dirt just falls out a lot of dirt when emptying the dirt box i m returning and not getting another after reading the other reviews in here that sound just like my experience,negative
love this product excellent cheese cutter three choices of thickness highly recommended,positive
the price went down from 6 95 to 3 95 it s very nice looking you will be pleased with it approximately 13 and a half inch square i was expecting a black cloth loop to hang it from but the loop turned out to be the sewn in label that s okay,positive
the packaging hadn t been so pathetic the tiny pieces of styrofoam that failed to cushion the fridge during shipping led to a fridge that arrived leaking coolant the cooling part of the unit had come dislodged from the frame and one of the pipes was broken and leaking plus there was no crisper drawer included i won t be buying a replacement from sanyo,negative
these are so adorable the patterns are too cute and they can be mixed and matched just like boring cups and saucers they even make me happy when i see them in the cabinet they are a great shape and size i am inspired to upgrade my espresso machine because these only deserve the best,positive
our queen mattress is not a pillow top so the fitted sheet is deeper than necessary but it tucks under fine having the elastic around the entire fitted sheet helps with this the lace edge needs to be ironed after they come out of the dryer but that only takes a minute these sheets have held up well so far and feel great if you get the ruby color make sure you wash them in cold to keep their bright color and prevent color runs,positive
i ordered this product based on the reviews that were available at the time i was sorely disappointed there is no measuring cup so all water amounts must be estimated \( the unit has three lines to help but nothing that denotes how much water to use if you wish to cook a specific number of eggs \) there is no buzzer when the unit is finished so unless you babysit it everything ends up overcooking this is a great unit to avoid purchasing unless you plan to always cook 8 eggs at a time and want them all hardboiled,negative
this is truly a great waffle maker to have if you have kids they love to eat them and make their own,positive
these glasses are very cheap i sent everyone of them back when i recived them 2 were broken they are very thin,negative
i bought this as my second fryer the third time i used this fryer the oil went up and came out of the fryer then the lid wouldn t close properly and that s the end of it prior to buying this fryer i had the presto fry daddy for years and it worked fine,negative
we have had a set of eight of these in sea mist and have used them for morning coffee for several years they will sit on fiestaware saucers just fine i have never burned myself with the handle as mentioned below but tend to hold it with two hands or with the saucer together not just by the handle fiestaware is very sturdy and even if the handle were larger might feel heavy in one hand \( they are made like hotel china essentially homer laughlin is a hotel china company in fact the first set of dishes i had from them decades ago were some of their hotel line \) for a bigger cup for cafe au lait style i can recommend the fiestaware jumbo cups we have a set of those in sea mist and use them for coffee but also for heating soup in the microwave they are both great never been disappointed with fiestaware,positive
i returned the honeywell 6011i humidifier because the product had 2 defects and the product was very poorly designed the 6011i humidifier had 2 defects right out of the box the first was that the 6011i humidifier would not run on the high speed setting but did run on the low and medium speed settings the second defect was that the cap for one water container had no rubber o ring seal and the water bottle leaked when upright in its normal operating position the fact that this 6011i humidifier had 2 defects says that the quality control for this product must be very low and implies this product suffers from an above average failure rate the 6011i humidifier has major design defects that make it difficult to operate and maintain the 6011i humidifier the design defects are so major that the person \( s \) that designed and approved the design of the 6011i humidifier should be shot or at least fired the first major design defect is that the water bottles will not stand up by themselves in my sink because of this i must hold the water containers vertically with my hand and still cannot completely fill the water container to the top the screw on caps for the water containers are so large they are difficult for my wife with small hands to screw on while holding the water container vertically upright the next design defect is that one cannot at a glance check the water level in the water containers but must pick up the water containers and turn them over to check the water level in the container one can see if the water container is empty or nearly empty at a glance but this is of no use if one wants to quickly see if there is enough water in the water containers to last until one returns home from work or will last through the night the last design defect of the 6011i humidifier is that the water containers and humidifier fan housing do not just drop into place on the base one must use one hand as a guide for the water container and then still fiddle with the position angle of the water container to get it to seat properly this is even more difficult if both water containers are removed for filling at the same time i bought this 6011i humidifier to replace a honeywell humidifier that finally failed after many years of faithful service i also selected the 6011i humidifier because of its many desirable features however the positive product features were significantly outweighed by the poor quality control and the poor design of the 6011i humidifier i believe that a humidifier should be designed for usability first and esthetics second not the other way around as is the case with the 6011i humidifier thus i returned the 6011i humidifier,negative
first one came cracked second one came chipped gave up,negative
works great i purchase 3 one for my husband and 2 more for my children good design however it would be nice to have a bit more room on the station to accomodate larger products like a blackberry an ipod and a gameboy the station is not wide enough to put three products like this on at one time,positive
we bought this topper to replace a worn out topper of a different brand that after 2 years was no longer bouncing back into shape this serta topper is just fine as comfortable as our last one my big complaint is that someone at serta \( though serta isn t the actual manufacturer \) needs to measure a queen sized bed because this topper falls about an inch short on all 4 sides if you place the topper in the included protective cover it s several inches short on all 4 sides i know 1 inch sounds minor but if you re a stomach sleeper and tall enough where your feet hook off the end of the bed the topper doesn t protect you feet from the stiff edge of the mattress as far as toppers in general we have found that a huge advantage is the how much they help isolate movement across the bed you don t feel your partner moving around nearly as much with a topper \( though presumably with a full tempur bed isolates even more \) definitely choose a topper with the highest density you can afford and the thickest you can afford,positive
2 years ago i purchased these dishes i was so happy with them that i would of given them a 5 star until 6 months ago all of a sudden my dinner plates are breaking in half \( these dishes are microwave safe and no children \) all have broken in the same place 2 broke when picking up 4 have broken while microwaving yet all my cups bowls salad square plates are still in perfect condition but without my dinner plates my set \( s \) are useless,negative
these are nice to keep a martini cold but they re a bit large,positive
i have owned a roomba for several years and have been very pleased with its performance so i was very excited to purchase the scooba however it has been the worst purchase that i ever made the first one that i received would quit working every time it bumped into furniture or the wall irobt did send a replacement but it only works about half of the time the other half of the time it does not vacuum up the dirty water so it leaves the floor dirtier than before i cleaned it i have contacted irobot for help but none of their suggestions have worked honestly i would throw it in the trash if it did not cost so much,negative
received this as a gift and i must say i m very disappointed at its highest setting it takes forever to toast the other issue is that if you buy any bread with non standard width \( like home made gourmet breads \) it won t fit into the toaster,negative
